Year,Site,Plot #,Genus,sapling_or_tree,dbh (cm),L/D,Height (m),Frag. Class (1-4),Decay Class (I-IV),Notes
2009,O,9.3,Hemlock,,38.0,L,26,,,
2020,second-growth,20.6,Hemlock,,24,D,29,1,1,
2019,Old Growth ,19.3,hemlock,,21,D,10,3,II,"The dead tree was 10m tall. Thin bark, stained, soft, branch stubs, small branches at top"
2020,old,20.3,Hemlock,,23.8,D,18,1,1,
2019,old,19.2,hemlock,,40,L,NA,,,
2019,old,19.2,hemlock,,52.1,L,NA,,,
2019,old,19.2,hemlock,sap,,L,,,,
2019,old,19.2,hemlock,sap,,D,,,,
2019,old,19.2,hemlock,sap,,L,,,,
2019,old,19.2,hemlock,sap,,L,,,,
2019,Old Growth ,19.3,hemlock,,56.9,L,,,,"thicker bark, sturdy, light brown"
2019,Old Growth ,19.3,hemlock,,28.15,L,,,,"seperated bark, redder, bigger, green moss"
2019,Old Growth ,19.3,hemlock,,41.3,L,,,,"thick spaced bark, high canopy, straight thick bark, longer branches at top"
2019,Old Growth ,19.3,hemlock,,46.25,L,,,,
2017,O,17.1,Hemlock,,36.1,L,,,,
2017,O,17.1,Hemlock,,30.0,L,,,,
2017,O,17.1,Hemlock,,57.0,L,,,,
2017,O,17.1,Hemlock,,41.5,L,,,,
2017,O,17.1,Hemlock,,50.0,L,,,,
2017,O,17.2,Hemlock,,62.0,L,,,,
2017,O,17.2,Hemlock,,35.0,L,,,,
2017,O,17.2,Hemlock,,55.5,L,,,,
2017,O,17.2,Hemlock,,53.5,L,,,,
2017,O,17.2,Hemlock,,32.0,L,,,,
2017,O,17.3,hemlock,,49.0,L,,,,
2017,O,17.3,hemlock,,41.5,L,,,,
2017,O,17.3,hemlock,,46.5,L,,,,
2017,O,17.3,hemlock,,21.0,L,,,,
2017,O,17.3,hemlock,,19.0,L,,,,
2017,O,17.3,hemlock,,31.5,L,,,,
2017,S,17.5,hemlock,,20.5,L,,,,
2017,S,17.5,hemlock,,37.0,L,,,,
2017,S,17.5,hemlock,,27.0,L,,,,
2017,S,17.5,hemlock,,34.5,L,,,,
2020,old forest,20.1,hemlock,,44.3,L ,,,,
2020,old forest,20.1,hemlock,,42.5,L ,,,,
2020,old forest,20.1,hemlock,,13.4,L,,,,
2020,old forest,20.1,hemlock,,38.3,L,,,,
2020,old forest,20.1,hemlock,,31.3,L,,,,
2020,old forest,20.1,hemlock,,31.3,L,,,,
2020,old forest,20.1,hemlock,,21.5,L,,,,
2020,old forest,20.2,hemlock,,22,L,,,,
2020,old forest,20.2,hemlock,,34.1,L,,,,
2020,old forest,20.2,hemlock,,46.5,L,,,,
2020,old forest,20.2,hemlock,,35.8,L ,,,,
2020,old forest,20.2,hemlock,,45.1,L,,,,
2020,old forest,20.2,hemlock,,46.4,L,,,,
2020,old,20.3,Hemlock,,52,L,,,,
2020,old,20.3,Hemlock,,41.5,L,,,,
2020,old,20.3,Hemlock,,40,L,,,,
2020,old,20.4,Hemlock,,42.5,L,,,,
2020,old,20.4,Hemlock,,49,L,,,,
2020,old,20.4,Hemlock,,29.5,L,,,,
2020,old,20.4,Hemlock,,19,L,,,,
2020,old,20.4,Hemlock,,20.5,L,,,,
2020,old,20.4,Hemlock,,45.3,L,,,,
2020,old,20.4,hemlock,,40,L,,,,
2020,second-growth,20.5,Hemlock,,17.25,L,,,,
2020,second-growth,20.5,Hemlock,,25,L,,,,
2020,second-growth,20.5,Hemlock,,34,L,,,,
2020,second-growth,20.5,Hemlock,,26,L,,,,
2020,second-growth,20.5,Hemlock,,41,L,,,,
2020,second-growth,20.5,Hemlock,,27,L,,,,
2020,second-growth,20.5,Hemlock,,26.5,L,,,,
2020,second-growth,20.5,Hemlock,,28.2,L,,,,
2020,second-growth,20.6,Hemlock,,31.5,L,,,,
2020,second-growth,20.6,Hemlock,,27.5,L,,,,
2020,second-growth,20.6,Hemlock,,28.2,L,,,,
2020,second-growth,20.6,Hemlock,,36.5,L,,,,
2020,second-growth,20.6,Hemlock,,37,L,,,,
